,filename,time_difference
272,flevopark_5_audio1_2022-06-04_18-20-00_(3172).flac,-14864698.5
273,flevopark_5_audio1_2022-06-04_18-21-00_(3173).flac,-14864758.5
274,flevopark_5_audio1_2022-06-04_18-22-00_(3174).flac,-14864818.5
275,flevopark_5_audio1_2022-06-04_18-23-00_(3175).flac,-14864878.5
276,flevopark_5_audio1_2022-06-04_18-24-00_(3176).flac,-14864938.5
277,flevopark_5_audio1_2022-06-04_18-25-00_(3177).flac,-14864998.5
278,flevopark_5_audio1_2022-06-04_18-26-00_(3178).flac,-14865058.5
279,flevopark_5_audio1_2022-06-04_18-27-00_(3179).flac,-14865118.5
280,flevopark_5_audio1_2022-06-04_18-28-00_(3180).flac,-14865178.5
281,flevopark_5_audio1_2022-06-04_18-29-00_(3181).flac,-14865238.5
282,flevopark_5_audio1_2022-06-04_18-30-00_(3182).flac,-14865298.5
283,flevopark_5_audio1_2022-06-04_18-31-00_(3183).flac,-14865358.5
284,flevopark_5_audio1_2022-06-04_18-32-00_(3184).flac,-14865418.5
285,flevopark_5_audio1_2022-06-04_18-33-00_(3185).flac,-14865478.5
286,flevopark_5_audio1_2022-06-04_18-34-00_(3186).flac,-14865538.5
287,flevopark_5_audio1_2022-06-04_18-35-00_(3187).flac,-14865598.5
288,flevopark_5_audio1_2022-06-04_18-36-00_(3188).flac,-14865658.5
289,flevopark_5_audio1_2022-06-04_18-37-00_(3189).flac,-14865718.5
290,flevopark_5_audio1_2022-06-04_18-38-00_(3190).flac,-14865778.5
291,flevopark_5_audio1_2022-06-04_18-39-00_(3191).flac,-14865838.5
292,flevopark_5_audio1_2022-06-04_18-40-00_(3192).flac,-14865898.5
293,flevopark_5_audio1_2022-06-04_18-41-00_(3193).flac,-14865958.5
294,flevopark_5_audio1_2022-06-04_18-42-00_(3194).flac,-14866018.5
295,flevopark_5_audio1_2022-06-04_18-43-00_(3195).flac,-14866078.5
296,flevopark_5_audio1_2022-06-04_18-44-00_(3196).flac,-14866138.5
297,flevopark_5_audio1_2022-06-04_18-45-00_(3197).flac,-14866198.5
298,flevopark_5_audio1_2022-06-04_18-46-00_(3198).flac,-14866258.5
299,flevopark_5_audio1_2022-06-04_18-47-00_(3199).flac,-14866318.5
300,flevopark_5_audio1_2022-06-04_18-48-00_(3200).flac,-14866378.5
301,flevopark_5_audio1_2022-06-04_18-49-00_(3201).flac,-14866438.5
302,flevopark_5_audio1_2022-06-04_18-50-00_(3202).flac,-14866498.5
303,flevopark_5_audio1_2022-06-04_18-51-00_(3203).flac,-14866558.5
304,flevopark_5_audio1_2022-06-04_18-52-00_(3204).flac,-14866618.5
305,flevopark_5_audio1_2022-06-04_18-53-00_(3205).flac,-14866678.5
306,flevopark_5_audio1_2022-06-04_18-54-00_(3206).flac,-14866738.5
307,flevopark_5_audio1_2022-06-04_18-55-00_(3207).flac,-14866798.5
308,flevopark_5_audio1_2022-06-04_18-56-00_(3208).flac,-14866858.5
309,flevopark_5_audio1_2022-06-04_18-57-00_(3209).flac,-14866918.5
310,flevopark_5_audio1_2022-06-04_18-58-00_(3210).flac,-14866978.5
311,flevopark_5_audio1_2022-06-04_18-59-00_(3211).flac,-14867038.5
312,flevopark_5_audio1_2022-06-04_19-00-00_(3212).flac,-14867098.5
313,flevopark_5_audio1_2022-06-04_19-01-00_(3213).flac,-14867158.5
314,flevopark_5_audio1_2022-06-04_19-02-00_(3214).flac,-14867218.5
315,flevopark_5_audio1_2022-06-04_19-03-00_(3215).flac,-14867278.5
316,flevopark_5_audio1_2022-06-04_19-04-00_(3216).flac,-14867338.5
317,flevopark_5_audio1_2022-06-04_19-05-00_(3217).flac,-14867398.5
318,flevopark_5_audio1_2022-06-04_19-06-00_(3218).flac,-14867458.5
319,flevopark_5_audio1_2022-06-04_19-07-00_(3219).flac,-14867518.5
320,flevopark_5_audio1_2022-06-04_19-08-00_(3220).flac,-14867578.5
321,flevopark_5_audio1_2022-06-04_19-09-00_(3221).flac,-14867638.5
322,flevopark_5_audio1_2022-06-04_19-10-00_(3222).flac,-14867698.5
323,flevopark_5_audio1_2022-06-04_19-11-00_(3223).flac,-14867758.5
324,flevopark_5_audio1_2022-06-04_19-12-00_(3224).flac,-14867818.5
325,flevopark_5_audio1_2022-06-04_19-13-00_(3225).flac,-14867878.5
326,flevopark_5_audio1_2022-06-04_19-14-00_(3226).flac,-14867938.5
327,flevopark_5_audio1_2022-06-04_19-15-00_(3227).flac,-14867998.5
328,flevopark_5_audio1_2022-06-04_19-16-00_(3228).flac,-14868058.5
329,flevopark_5_audio1_2022-06-04_19-17-00_(3229).flac,-14868118.5
330,flevopark_5_audio1_2022-06-04_19-18-00_(3230).flac,-14868178.5
331,flevopark_5_audio1_2022-06-04_19-19-00_(3231).flac,-14868238.5
332,flevopark_5_audio1_2022-06-04_19-20-00_(3232).flac,-14868298.5
333,flevopark_5_audio1_2022-06-04_19-21-00_(3233).flac,-14868358.5
334,flevopark_5_audio1_2022-06-04_19-22-00_(3234).flac,-14868418.5
335,flevopark_5_audio1_2022-06-04_19-23-00_(3235).flac,-14868478.5
336,flevopark_5_audio1_2022-06-04_19-24-00_(3236).flac,-14868538.5
337,flevopark_5_audio1_2022-06-04_19-25-00_(3237).flac,-14868598.5
338,flevopark_5_audio1_2022-06-04_19-26-00_(3238).flac,-14868658.5
