,filename,start_time,end_time,site_id,time_difference
141,flevopark_11_audio1_2021-12-06_05-00-00_(18),2021-12-06 05:00:00+00:00,2021-12-06 07:23:09+00:00,flevopark_11_,-360359.5
142,flevopark_11_audio1_2021-12-08_16-00-00_(28),2021-12-08 16:00:00+00:00,2021-12-08 16:15:50+00:00,flevopark_11_,-568940.0
143,flevopark_11_audio1_2021-09-16_21-12-08_(40),2021-09-16 21:12:08+00:00,2021-09-16 23:35:17+00:00,flevopark_11_,83882.5
144,flevopark_11_audio1_2021-12-09_16-00-00_(1),2021-12-09 16:00:00+00:00,2021-12-09 16:00:00+00:00,flevopark_11_,-654865.0
145,flevopark_11_audio1_2021-12-09_20-46-20_(33),2021-12-09 20:46:20+00:00,2021-12-09 22:00:00+00:00,flevopark_11_,-674255.0
146,flevopark_11_audio1_2021-09-16_14-02-38_(33),2021-09-16 14:02:38+00:00,2021-09-16 16:25:47+00:00,flevopark_11_,109652.5
147,flevopark_11_audio1_2021-09-16_14-02-38_(34),2021-09-16 14:02:38+00:00,2021-09-16 16:25:47+00:00,flevopark_11_,109652.5
148,flevopark_11_audio1_2021-09-16_18-48-58_(38),2021-09-16 18:48:58+00:00,2021-09-16 21:12:07+00:00,flevopark_11_,92472.5
149,flevopark_11_audio1_2021-09-16_23-35-18_(41),2021-09-16 23:35:18+00:00,2021-09-17 00:00:00+00:00,flevopark_11_,78846.0
150,flevopark_11_audio1_2021-09-16_18-48-58_(37),2021-09-16 18:48:58+00:00,2021-09-16 21:12:07+00:00,flevopark_11_,92472.5
151,flevopark_11_audio1_2021-09-17_00-00-01_(43),2021-09-17 00:00:01+00:00,2021-09-17 02:23:10+00:00,flevopark_11_,73809.5
152,flevopark_11_audio1_2021-09-17_00-00-01_(44),2021-09-17 00:00:01+00:00,2021-09-17 02:23:10+00:00,flevopark_11_,73809.5
153,flevopark_11_audio1_2021-09-17_04-46-21_(47),2021-09-17 04:46:21+00:00,2021-09-17 07:09:30+00:00,flevopark_11_,56629.5
154,flevopark_11_audio1_2021-09-17_16-42-11_(52),2021-09-17 16:42:11+00:00,2021-09-17 19:05:20+00:00,flevopark_11_,13679.5
155,flevopark_11_audio1_2021-09-17_14-19-01_(51),2021-09-17 14:19:01+00:00,2021-09-17 16:42:10+00:00,flevopark_11_,22269.5
156,flevopark_11_audio1_2021-09-24_00-00-00_(63),2021-09-24 00:00:00+00:00,2021-09-24 00:05:37+00:00,flevopark_11_,224162.5
157,flevopark_11_audio1_2021-09-17_11-55-51_(50),2021-09-17 11:55:51+00:00,2021-09-17 14:19:00+00:00,flevopark_11_,30859.5
158,flevopark_11_audio1_2021-09-29_00-00-00_(68),2021-09-29 00:00:00+00:00,2021-09-29 00:00:19+00:00,flevopark_11_,104750.5
159,flevopark_11_audio1_2021-09-27_00-00-00_(66),2021-09-27 00:00:00+00:00,2021-09-27 00:02:43+00:00,flevopark_11_,27007.5
160,flevopark_11_audio1_2021-09-19_00-00-00_(58),2021-09-19 00:00:00+00:00,2021-09-19 00:17:24+00:00,flevopark_11_,-72610.0
161,flevopark_11_audio1_2021-09-23_00-00-00_(62),2021-09-23 00:00:00+00:00,2021-09-23 00:05:42+00:00,flevopark_11_,310560.0
162,flevopark_11_audio1_2021-12-02_18-23-10_(1),2021-12-02 18:23:10+00:00,2021-12-02 20:46:19+00:00,flevopark_11_,-62949.5
163,flevopark_11_audio1_2021-12-04_07-23-10_(9),2021-12-04 07:23:10+00:00,2021-12-04 09:00:00+00:00,flevopark_11_,-194760.0
164,flevopark_11_audio1_2021-12-04_16-00-00_(10),2021-12-04 16:00:00+00:00,2021-12-04 18:23:09+00:00,flevopark_11_,-227159.5
165,flevopark_11_audio1_2021-12-05_20-46-20_(17),2021-12-05 20:46:20+00:00,2021-12-05 22:00:00+00:00,flevopark_11_,-328655.0
166,flevopark_11_audio1_2021-12-05_05-00-00_(13),2021-12-05 05:00:00+00:00,2021-12-05 07:23:09+00:00,flevopark_11_,-273959.5
167,flevopark_11_audio1_2021-12-05_07-23-10_(14),2021-12-05 07:23:10+00:00,2021-12-05 09:00:00+00:00,flevopark_11_,-281160.0
168,flevopark_11_audio1_2021-12-06_20-46-20_(22),2021-12-06 20:46:20+00:00,2021-12-06 22:00:00+00:00,flevopark_11_,-415055.0
169,flevopark_11_audio1_2021-12-06_16-00-00_(20),2021-12-06 16:00:00+00:00,2021-12-06 18:23:09+00:00,flevopark_11_,-399959.5
170,flevopark_11_audio1_2021-12-08_05-00-00_(27),2021-12-08 05:00:00+00:00,2021-12-08 05:23:56+00:00,flevopark_11_,-529583.0
171,flevopark_11_audio1_2021-12-07_05-00-00_(23),2021-12-07 05:00:00+00:00,2021-12-07 07:23:09+00:00,flevopark_11_,-446759.5
172,flevopark_11_audio1_2021-12-09_05-00-00_(29),2021-12-09 05:00:00+00:00,2021-12-09 05:12:25+00:00,flevopark_11_,-615637.5
173,flevopark_11_audio1_2021-12-07_07-23-10_(24),2021-12-07 07:23:10+00:00,2021-12-07 09:00:00+00:00,flevopark_11_,-453960.0
174,flevopark_11_audio1_2021-12-07_18-23-10_(26),2021-12-07 18:23:10+00:00,2021-12-07 20:41:09+00:00,flevopark_11_,-494794.5
175,flevopark_10_audio1_2021-12-15_16-00-00_(29),2021-12-15 16:00:00+00:00,2021-12-15 16:23:16+00:00,flevopark_10_,-2059250.0
176,flevopark_10_audio1_2021-12-09_16-00-00_(0),2021-12-09 16:00:00+00:00,2021-12-09 18:23:09+00:00,flevopark_10_,-1544446.5
177,flevopark_10_audio1_2021-12-09_18-23-10_(1),2021-12-09 18:23:10+00:00,2021-12-09 20:46:19+00:00,flevopark_10_,-1553036.5
178,flevopark_10_audio1_2021-12-10_05-00-00_(3),2021-12-10 05:00:00+00:00,2021-12-10 07:23:09+00:00,flevopark_10_,-1591246.5
179,flevopark_10_audio1_2021-12-10_18-23-10_(6),2021-12-10 18:23:10+00:00,2021-12-10 20:46:19+00:00,flevopark_10_,-1639436.5
